2017-11-08 10:24:22,429 [Worker-13] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: FazlaysaPaylas:FazlaysaPaylas:0.0.1-SNAPSHOT @ C:\Users\ibadet.ozdemir\workspaceproje\FazlaysaPaylas\pom.xml.
2017-11-08 11:09:41,043 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-08 11:09:41,053 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ibadet.ozdemir\workspaceproje\FazlaysaPaylas\src\main\resources
2017-11-08 11:09:41,053 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-08 11:09:41,053 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ibadet.ozdemir\workspaceproje\FazlaysaPaylas\src\test\resources
2017-11-08 11:25:38,369 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-08 11:25:38,369 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ibadet.ozdemir\workspaceproje\FazlaysaPaylas\src\main\resources
2017-11-08 11:25:38,369 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-08 11:25:38,369 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ibadet.ozdemir\workspaceproje\FazlaysaPaylas\src\test\resources
2017-11-08 11:26:49,461 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-08 11:26:49,461 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ibadet.ozdemir\workspaceproje\FazlaysaPaylas\src\main\resources
2017-11-08 11:26:49,461 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-08 11:26:49,461 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ibadet.ozdemir\workspaceproje\FazlaysaPaylas\src\test\resources
2017-11-08 11:27:50,748 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-08 11:27:50,748 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ibadet.ozdemir\workspaceproje\FazlaysaPaylas\src\main\resources
2017-11-08 11:27:50,748 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-08 11:27:50,748 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ibadet.ozdemir\workspaceproje\FazlaysaPaylas\src\test\resources
2017-11-08 11:29:04,646 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-08 11:29:04,646 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ibadet.ozdemir\workspaceproje\FazlaysaPaylas\src\main\resources
